JobID|User|Account|Partition|State|AllocCPUS|Elapsed|Start|End|NCPUS|NNodes|TotalCPU|UserCPU|SystemCPU|CPUTime
5858828|ikissami|novec-account|gpu|COMPLETED|2|00:00:29|2023-12-12T10:56:03|2023-12-12T10:56:32|2|2|00:21.028|00:16.540|00:04.487|00:00:58
5858828.batch||novec-account||COMPLETED|1|00:00:29|2023-12-12T10:56:03|2023-12-12T10:56:32|1|1|00:21.028|00:16.540|00:04.487|00:00:29
5858829|ikissami|novec-account|gpu|COMPLETED|1|00:00:43|2023-12-12T10:57:17|2023-12-12T10:58:00|1|1|00:24.707|00:18.227|00:06.480|00:00:43
5858829.batch||novec-account||COMPLETED|1|00:00:43|2023-12-12T10:57:17|2023-12-12T10:58:00|1|1|00:24.707|00:18.227|00:06.480|00:00:43
5858830|ikissami|novec-account|gpu|FAILED|1|00:02:31|2023-12-12T11:01:47|2023-12-12T11:04:18|1|1|00:32.263|00:25.652|00:06.610|00:02:31
5858831|ikissami|novec-account|gpu|FAILED|2|00:00:00|2023-12-12T11:04:32|2023-12-12T11:04:32|2|2|00:00:00|||00:00:00
5858832|ikissami|novec-account|gpu|COMPLETED|2|00:00:03|2023-12-12T11:04:36|2023-12-12T11:04:39|2|2|00:00.480|00:00.412|00:00.068|00:00:06
5858833|ikissami|novec-account|gpu|CANCELLED by 1063|2|00:00:00|2023-12-12T11:04:45|2023-12-12T11:04:45|2|2|00:00:00|||00:00:00
5858834|ikissami|novec-account|gpu|CANCELLED by 1063|1|00:00:00|2023-12-12T11:04:49|2023-12-12T11:04:49|1|1|00:00:00|||00:00:00
5858835|ikissami|novec-account|gpu|FAILED|2|00:01:03|2023-12-12T11:05:05|2023-12-12T11:06:08|2|2|00:22.669|00:17.904|00:04.765|00:02:06
5858836|ikissami|novec-account|gpu|FAILED|1|00:02:00|2023-12-12T11:06:12|2023-12-12T11:08:12|1|1|00:22.857|00:17.661|00:05.195|00:02:00
5858837|sboughou|msda-account|gpu|FAILED|44|00:11:06|2023-12-12T11:11:00|2023-12-12T11:22:06|44|1|07:04:24|07:04:04|00:19.582|08:08:24
5858837.batch||msda-account||FAILED|44|00:11:06|2023-12-12T11:11:00|2023-12-12T11:22:06|44|1|07:04:24|07:04:04|00:19.582|08:08:24
5858838|ilyas.bouziani|limset-account|gpu|FAILED|44|00:03:41|2023-12-12T11:26:53|2023-12-12T11:30:34|44|1|02:38:19|02:29:32|08:47.209|02:42:04
5858838.batch||limset-account||FAILED|44|00:03:41|2023-12-12T11:26:53|2023-12-12T11:30:34|44|1|02:38:19|02:29:32|08:47.209|02:42:04
5858839|sboughou|msda-account|gpu|FAILED|44|00:12:15|2023-12-12T11:37:13|2023-12-12T11:49:28|44|1|08:41:52|08:41:31|00:20.656|08:59:00
5858839.batch||msda-account||FAILED|44|00:12:15|2023-12-12T11:37:13|2023-12-12T11:49:28|44|1|08:41:52|08:41:31|00:20.656|08:59:00
5858840|sboughou|msda-account|gpu|CANCELLED by 1188|44|00:00:00|2023-12-12T12:06:23|2023-12-12T12:06:23|44|1|00:00:00|||00:00:00
5858841|sboughou|msda-account|gpu|CANCELLED by 1188|44|00:00:00|2023-12-12T12:08:30|2023-12-12T12:08:30|44|1|00:00:00|||00:00:00
5858842|sboughou|msda-account|shortq|FAILED|44|00:07:46|2023-12-12T12:08:55|2023-12-12T12:16:41|44|1|04:31:33|04:31:19|00:14.257|05:41:44
5858842.batch||msda-account||FAILED|44|00:07:46|2023-12-12T12:08:55|2023-12-12T12:16:41|44|1|04:31:33|04:31:19|00:14.257|05:41:44
5858843|issam.aityahia|sccs-dna-account|shortq|TIMEOUT|12|04:00:01|2023-12-12T12:16:08|2023-12-12T16:16:09|12|1|15:09:13|07:19:17|07:49:56|2-00:00:12
5858844|sboughou|msda-account|shortq|FAILED|44|00:02:46|2023-12-12T12:23:20|2023-12-12T12:26:06|44|1|01:47:04|01:46:51|00:12.655|02:01:44
